Course,Level,ID,Project Name,Project Type,Project Theme,Learning Objectives,Vocabulary,CSTA Standards
CS Adventures with VR,0,0.1,Technology Then and Now,Unplugged,,"Students will:
- Understand the importance of technology and how it has impacted our lives
- Compare how people have utilized technology in the past and present
- Identify and analyze how technology impacts different communities
- Evaluate the impacts of technology in a community
- Apply their knowledge by matching past and present items of technology","Technology, Community",1A-IC-16
CS Adventures with VR,0,0.2,Exploring the World of CS,Unplugged,,"Students will:
- Use appropriate terminology in identifying and describing the function of common physical components of computing systems.
- Identify and describe basic computer hardware, including a variety of input and output devices, and software using accurate terminology.
- Apply computational thinking by engaging in activities that involve identifying objects that contain computers and assembling a paper keyboard.","Computer Science, Computer, Computer Hardware",1A-CS-02
CS Adventures with VR,0,0.3,Step-by-Step Superstars,Unplugged,,"Students will:
- Understand the importance of giving directions in a specific order, step-by-step, to complete tasks, recognizing that these directions can be represented using symbols, such as arrows.
- Model daily processes by creating and following algorithms to complete tasks.
- Decompose the steps needed to solve a problem into precise sequential steps.",Algorithm,"1A-AP-08, 1A-AP-09, 1A-AP-11"
CS Adventures with VR,0,0.4,Screen Smarties,Unplugged,,"Students will:
- Identify and demonstrate examples of how to be safe with computers, such as handling devices carefully and using approved websites and apps.
- Recognize and practice being respectful with computers, including asking permission to take pictures and using only their own accounts.
- Describe and apply responsible computer behaviors, such as keeping personal information private and properly storing devices after use.
- Demonstrate how to be a learner when using computers by staying on task during activities and following directions, such as putting their screens down immediately when asked.","Responsible, Respectful","1A-NI-04, 1A-IC-17, 1A-IC-18
"
CS Adventures with VR,0,0.5,Click Clever,Unplugged,,"Students will:
- Understand the importance of online safety and explain how to identify safe websites using the ""traffic light"" system.
- Identify and discuss what information is safe or not safe to share online.
- Distinguish between personal and public information.
- Explain why it’s important to keep personal information like passwords private.","Password, Personal Information, Public Information, Login","1A-NI-04, 1A-IC-18"
CS Adventures with VR,0,0.6,Digital Citizenship,Unplugged,,"Students will:
- Identify and practice ways to show kindness both online and in person, reinforcing respectful digital interactions.
- Participate in activities that promote kindness
- Create and commit to an Online Kindness Pledge, making a personal promise to practice kindness in all their online interactions.","Digital Citizenship, Pledge",1A-IC-17
CS Adventures with VR,0,0.7,Respecting Others' Work,Activity,,"Students will:
- Understand and explain the importance of respecting others' work and ideas, including why it's important to ask for permission and give credit to creators.
- Practice identifying sources and giving proper credit.","Credit, Source, Permission, Remix","1A-CS-02, 1A-AP-08, 1A-AP-09, 1A-AP-13, 1A-IC-16, 1A-IC-17, 1A-IC-18
"
CS Adventures with VR,0,0.8,Data Discovery,Activity,,"Students will:
- Collect and present the same data in various visual formats.
- Identify and describe patterns in data using visualizations such as charts or graphs.","Data, Graph, Bar Graph, Pie Chart","1A-DA-06, 1A-DA-07"
CS Adventures with VR,0,0.9,Google Slides Playground,Activity,,"Students will:
- Navigate the online workbook in Google Slides to perform basic tasks such as typing, inserting images, and resizing objects.
- Search, store, retrieve and modify information using a computer device and recognize that this information is stored as data.
- Identify basic hardware and software issues and troubleshoot them using accurate terminology.","Application, Google Slide, Cursor, Rotate, Copy/paste, Crop, Upload, Right-click","1A-CS-01,
1A-CS-03, 1A-DA-05"
CS Adventures with VR,0,0.10,Scavenger Hunt,Activity,,"Students will:
- Log into a website using provided credentials and navigate through an activity.
- Use multimedia features (audio, pop-ups) to support their understanding of online content.
- Practice correct keyboarding techniques by using appropriate hand and body positions.","Navigate, Tutorial, Login, GIF, Scroll, Pop-up, Window, Audio, Project Rubric","1A-CS-01, 1A-DA-05"
