Standard ID,Grade,Strand,Content Cluster,Standard Text
DLCS18.K.R1,K,Recurring Standards,"Safety, Privacy, and Security","Identify, demonstrate, and apply personal safe use of digital devices."
DLCS18.K.R2,K,Recurring Standards,Legal and Ethical Behavior,Recognize and demonstrate age-appropriate responsible use of digital devices and resources as outlined in school/district rules.
DLCS18.K.R3,K,Recurring Standards,Impact of Computing,Assess the validity and identify the purpose of digital content.
DLCS18.K.R4,K,Recurring Standards,Systems,Identify and employ appropriate troubleshooting techniques used to solve computing or connectivity issues.
DLCS18.K.R5,K,Recurring Standards,Collaborative Research,Locate and curate information from digital sources to answer research questions.
DLCS18.K.R6,K,Recurring Standards,Digital Tools,"Produce, review, and revise authentic artifacts that include multimedia using appropriate digital tools."
DLCS18.K.1,K,Computational Thinker,Algorithms,List the sequence of events required to solve problems.
DLCS18.K.2,K,Computational Thinker,Programming and Development,Demonstrate use of input devices.
DLCS18.K.3,K,Citizen of a Digital Future,"Safety, Privacy, and Security",Distinguish between private and public information.
DLCS18.K.4,K,Citizen of a Digital Future,"Safety, Privacy, and Security",Identify age-appropriate methods for keeping personal information private.
DLCS18.K.5,K,Citizen of a Digital Future,Legal and Ethical Behavior,Demonstrate appropriate behaviors for working with others responsibly and kindly.
DLCS18.K.6,K,Citizen of a Digital Future,Impact of Computing,Recognize ways in which computing devices make certain tasks easier.
DLCS18.K.7,K,Global Collaborator,Digital Tools,Locate letters and numbers on the keyboard.
DLCS18.K.8,K,Global Collaborator,Collaborative Research,Present information from a variety of digital resources.
DLCS18.K.9,K,Global Collaborator,Collaborative Research,"Create a research-based product collaboratively using online digital tools, given specific guidance."
DLCS18.K.10,K,Computing Analyst,Data,Collect data and organize it in a chart or graph collaboratively.
DLCS18.K.11,K,Computing Analyst,Data,Describe how digital devices save information.
DLCS18.K.12,K,Computing Analyst,Systems,"Use a variety of digital devices, in both independent and collaborative settings."
DLCS18.K.13,K,Innovative Designer,Design Thinking,Use a design process in a guided setting to create an artifact or solve a problem.
DLCS18.1.R1,1,Recurring Standards,"Safety, Privacy, and Security","Identify, demonstrate, and apply personal safe use of digital devices."
DLCS18.1.R2,1,Recurring Standards,Legal and Ethical Behavior,Recognize and demonstrate age-appropriate responsible use of digital devices and resources as outlined in school/district rules.
DLCS18.1.R3,1,Recurring Standards,Impact of Computing,Assess the validity and identify the purpose of digital content.
DLCS18.1.R4,1,Recurring Standards,Systems,Identify and employ appropriate troubleshooting techniques used to solve computing or connectivity issues.
DLCS18.1.R5,1,Recurring Standards,Collaborative Research,Locate and curate information from digital sources to answer research questions.
DLCS18.1.R6,1,Recurring Standards,Digital Tools,"Produce, review, and revise authentic artifacts that include multimedia using appropriate digital tools."
DLCS18.1.1,1,Computational Thinker,Abstraction,Classify and sort information into logical order with and without a computer.
DLCS18.1.2,1,Computational Thinker,Algorithms,Order events into a logical sequence or algorithm.
DLCS18.1.3,1,Computational Thinker,Programming and Development,Construct elements of a simple computer program in collaboration with others.
