Standard ID,Grade,Strand,Content Cluster,Standard Text
1.CS.D.01,1,Computing Systems,Devices,"With guidance, select and use a computing device to perform a variety of tasks for an intended outcome."
1.CS.HS.01,1,Computing Systems,Hardware and Software,"Use accurate terminology in naming and describing the function of common computing devices and components (e.g., laptop, tablet, mouse)."
1.CS.T.01,1,Computing Systems,Troubleshooting,"Identify simple hardware and software problems that may occur during use (e.g., app or program is not working as expected; no sound is coming from the device; caps lock turned on)."
1.NI.NCO.01,1,Network and the Internet,Network Communication and Organization,"Recognize that by connecting computing devices together they can share information (e.g., remote storage, printing, the internet)."
1.NI.C.01,1,Network and the Internet,Cybersecurity,"Identify what passwords are; explain why they are not shared; and discuss what makes a password strong. Independently, use passwords to access technological devices, apps etc."
1.DA.S.01,1,Data Analysis,Storage,"With guidance, locate, open, modify and save an existing file with a computing device."
1.DA.CVT.01,1,Data Analysis,"Collection, Visualization and Transformation","With guidance, collect data and present it two different ways."
1.DA.IM.01,1,Data Analysis,Inference and Models,"With guidance, interpret data from a chart or graph (visualization) in order to make a prediction, with or without a computing device."
1.AP.A.01,1,Algorithms and Programming,Algorithms,"With guidance, model daily processes and follow algorithms (sets of step‐by‐step instructions) to complete tasks verbally, kinesthetically, with robot devices, or a programing language"
1.AP.V.01,1,Algorithms and Programming,Variables,"With guidance, model and represent grade level appropriate data (e.g., print, numbers, kinesthetic movement, symbols and robot manipulatives)."
1.AP.C.01,1,Algorithms and Programming,Control,"With guidance, create programs to accomplish tasks as a means of creative expression or problem solving using a programming language, robot device or unplugged activity, either independently or collaboratively including sequencing and repetition"
1.AP.M.01,1,Algorithms and Programming,Modularity,Decompose (break down) the steps needed to solve a problem into a precise sequence of instructions.
1.AP.PD.01,1,Algorithms and Programming,Program Development,"Independently or with guidance, create a grade level appropriate document to illustrate thoughts, ideas, and stories in a sequential (step‐by‐ step) manner (e.g., story map, storyboard, and sequential graphic organizer)."
1.AP.PD.02,1,Algorithms and Programming,Program Development,"Independently or with guidance give credit to ideas, creations and solutions of others while writing and/or developing programs."
1.AP.PD.03,1,Algorithms and Programming,Program Development,"Independently and collaboratively, debug programs, which include sequencing and repetition to accomplish tasks as a means of creative expression or problem solving using a programming language and/or unplugged activities."
1.AP.PD.04,1,Algorithms and Programming,Program Development,"Use correct terminology (beginning, middle, end...), and explain the choices made in the development of an algorithm and/or program to solve a simple problem."
1.CGEI.CC.01,1,"Community, Global and Ethical Impacts",Culture,Identify how people use many types of technologies in their daily work and personal lives
