Standard ID,Grade,Strand,Content Cluster,Standard Text
K.CS.D.1,K,Computing Systems (CS),Devices (D),"With teacher guidance, select and operate an appropriate device to perform a task. "
K.CS.HS.1,K,Computing Systems (CS),Hardware and Software (HS),Use appropriate terminology in identifying and describing the function of common physical components of computing systems. 
K.CS.T.1,K,Computing Systems (CS),Troubleshooting (T),Discuss basic hardware and software problems. 
K.NI.C.1,K,Networks and the Internet (NI),Cybersecurity (C),Explain that a password helps protect the privacy of information. 
K.NI.NCO.1,K,Networks and the Internet (NI),"Network, Communication, and Organization (NCO)","With teacher guidance, students define computer networks and how they can be used to connect people to other people, places, information, and ideas. "
K.DA.CVT.1,K,Data and Analysis (DA),"Collection, Visualization and Transformation (CVT)","With teacher guidance, collect and transform data using digital devices; Display data for communication in various visual formats. "
K.DA.S.1,K,Data and Analysis (DA),Storage (S),Recognize that data can be collected and stored on different computing devices over time and retrieved later. 
K.DA.IM.1,K,Data and Analysis (DA),Inference and Models (IM),Discuss patterns in data to make inferences or predictions. 
K.AP.A.1,K,Algorithms and Programming (AP,Algorithms (A),"With teacher assistance, model daily processes by following algorithms (sets of step-by-step instructions) to complete tasks. "
K.AP.V.1,K,Algorithms and Programming (AP,Variables (V),"With teacher assistance, model the way programs store and manipulate data by using numbers or other symbols to represent information. "
K.AP.C.1,K,Algorithms and Programming (AP,Control (C),"With teacher assistance, identify programs with sequences and simple loops, to express ideas or address a problem. "
K.AP.M.1,K,Algorithms and Programming (AP,Modularity (M),"With teacher assistance, solve a problem by breaking it down into smaller parts. "
K.AP.PD.1,K,Algorithms and Programming (AP,Program Development (PD,"With teacher assistance, develop plans that describe a program’s sequence of events, goals, and expected outcomes. "
K.AP.PD.2,K,Algorithms and Programming (AP,Program Development (PD,"With teacher assistance, identify attribution (credit) when using the ideas and creations of others while developing programs. "
K.AP.PD.3,K,Algorithms and Programming (AP,Program Development (PD,"With teacher assistance, debug (identify and fix) errors in an algorithm or program that includes sequences and simple loops. "
K.AP.PD.4,K,Algorithms and Programming (AP,Program Development (PD,"With teacher assistance, using correct terminology, describe steps taken and choices made during program development. "
K.IC.C.1,K,Impacts of Computing (IC),Culture (C),Discuss how people lived and worked before and after the implementation or adoption of new computing technology. 
K.IC.SI.1,K,Impacts of Computing (IC),Social Interactions (SI),Work respectfully and responsibly with others online. 
K.IC.SLE.1,K,Impacts of Computing (IC),"Safety, Law, and Ethics (SLE)","Keep login information private, and log off of devices appropriately. "
1.CS.D.1,1,Computing Systems (CS) ,Devices (D),"With teacher guidance, select and operate appropriate devices and software to perform a task. "
1.CS.HS.1,1,Computing Systems (CS) ,Hardware and Software (HS),Use appropriate terminology in identifying and describing the function of common physical components of computing systems.
1.CS.T.1,1,Computing Systems (CS) ,Troubleshooting (T),Identify basic hardware and software problems using accurate terminology. Problems with computing systems have different causes. 
1.CS.T.2,1,Computing Systems (CS) ,Troubleshooting (T),"With teacher guidance, begin to use basic troubleshooting strategies. "
1.NI.C.1,1,Networks and the Internet (NI),Cybersecurity (C),"Explain what passwords are and why we use them to protect personal information (e.g., name, location, phone number, home address) and keep it private. "
1.NI.NCO.1,1,Networks and the Internet (NI),"Network, Communication, and Organization (NCO)","With teacher guidance, students discuss how computer networks can be used to connect people to other people, places, information, and ideas. "
1.DA.CVT.1,1,Data and Analysis (DA),"Collection, Visualization and Transformation (CVT)","With teacher guidance, collect and transform data using digital devices; Display data for communication in various visual formats. "
1.DA.S.1,1,Data and Analysis (DA),Storage (S),"Explain that a variety of data (e.g., music, video, images, and text) can be stored in and retrieved from a computing device. "
1.DA.IM .1,1,Data and Analysis (DA),Inference and Models (IM),Identify patterns in data to make inferences or predictions. 
1.AP.A.1,1,Algorithms and Programming (AP,Algorithms (A),Model daily processes by following algorithms (sets of step-by-step instructions) to complete tasks.
1.AP.V.1,1,Algorithms and Programming (AP,Variables (V),Model the way programs store and manipulate data by using numbers or other symbols to represent information. 
1.AP.C.1,1,Algorithms and Programming (AP,Control (C),"Identify programs with sequences and simple loops, to express ideas or address a problem."
1.AP.M.1,1,Algorithms and Programming (AP,Modularity (M),Solve a problem by breaking it down into smaller parts. 
1.AP.PD.1,1,Algorithms and Programming (AP,Program Development (PD,"With teacher assistance identify plans that describe a program’s sequence of events, goals, and expected outcomes. "
1.AP.PD.2,1,Algorithms and Programming (AP,Program Development (PD,"With teacher assistance, give attribution (credit) when using the ideas and creations of others while developing programs."
1.AP.PD.3,1,Algorithms and Programming (AP,Program Development (PD,"With teacher assistance, debug (identify and fix) errors in an algorithm or program that includes sequences and simple loops."
1.AP.PD.4 ,1,Algorithms and Programming (AP,Program Development (PD,"Using correct terminology, describe steps taken and choices made during program development."
1.IC.C.1,1,Impacts of Computing (IC),Culture (C),Discuss how people live and work before and after the implementation or adoption of new computing technology. 
1.IC.SI.1,1,Impacts of Computing (IC),Social Interactions (SI),Work respectfully and responsibly with others online. 
1.IC.SLE.1,1,Impacts of Computing (IC),"Safety, Law, and Ethics (SLE)","Keep login information private, and log off devices appropriately."
2.CS.D.1,2,Computing Systems (CS),Devices (D),Recognize that users have different needs and preferences for technology they used by selecting and operating appropriate devices. 
2.CS.HS.1,2,Computing Systems (CS),Hardware and Software (HS),Understand how computing systems use both hardware (device) and software (program/app) to process information.
2.CS.T.1,2,Computing Systems (CS),Troubleshooting (T),Explain basic hardware (device) and software (program/app) problems using accurate terminology. 
2.CS.T.2,2,Computing Systems (CS),Troubleshooting (T),"With teacher guidance, use basic troubleshooting strategies. "
2.NI.C.1,2,Networks and the Internet (NI),Cybersecurity (C),"Explain what passwords are and why we use them, and use strong passwords to protect devices and information from unauthorized access. "
2.NI. NCO.1,2,Networks and the Internet (NI),"Network, Communication, and Organization (NCO)","Students can discuss how computer networks can be used to connect people to other people, places, information, and ideas. "
2.DA.CVT.1,2,Data and Analysis (DA),"Collection, Visualization and Transformation (CVT)",Collect and transform data using digital devices; Display data for communication in various visual formats.
2.DA.S.1,2,Data and Analysis (DA),Storage (S),"Store, copy, search, retrieve, modify, and delete information using a computing device and define the information stored as data."
2.DA.IM.1,2,Data and Analysis (DA),Inference and Models (IM),Describe patterns in data to make inferences or predictions. 
2.AP.A.1,2,Algorithms and Programming (AP,Algorithms (A),Model daily processes by creating and following algorithms (sets of step-by-step instructions to complete tasks.
2.AP.V.1,2,Algorithms and Programming (AP,Variables (V),Model the way programs store and manipulate data by using numbers or other symbols to represent information. 
2.AP.C.1,2,Algorithms and Programming (AP,Control (C),"Develop programs with sequences and simple loops, to express ideas or address a problem."
2.AP.M.1,2,Algorithms and Programming (AP,Modularity (M),Decompose (break down) the steps needed to solve a problem into a precise sequence of instructions. 
2.AP.PD.1 ,2,Algorithms and Programming (AP,Program Development (PD,"Develop plans that describe a program’s sequence of events, goals, and expected outcomes."
2.AP.PD.2,2,Algorithms and Programming (AP,Program Development (PD,Give attribution (credit) when using the ideas and creations of others while developing programs.
