Standard ID,Grade,Strand,Content Cluster,Standard Text
1A-CS-01,K-2,Computing Systems,Devices,"Select and operate appropriate software to perform a variety of tasks, and recognize that users have different needs and preferences for the technology they use."
1A-CS-02,K-2,Computing Systems,Hardware & Software,Use appropriate terminology in identifying and describing the function of common physical components of computing systems (hardware).
1A-CS-03,K-2,Computing Systems,Troubleshooting,Describe basic hardware and software problems using accurate terminology.
1A-NI-04,K-2,Networks & the Internet,Cybersecurity,"Explain what passwords are and why we use them, and use strong passwords to protect devices and information from unauthorized access."
1A-DA-05,K-2,Data & Analysis,Storage,"Store, copy, search, retrieve, modify, and delete information using a computing device and define the information stored as data."
1A-DA-06,K-2,Data & Analysis,Collection Visualization & Transformation,Collect and present the same data in various visual formats.
1A-DA-07,K-2,Data & Analysis,Inference & Models,"Identify and describe patterns in data visualizations, such as charts or graphs, to make predictions."
1A-AP-08,K-2,Algorithms & Programming,Algorithms,Model daily processes by creating and following algorithms (sets of step-by-step instructions) to complete tasks.
1A-AP-09,K-2,Algorithms & Programming,Variables,Model the way programs store and manipulate data by using numbers or other symbols to represent information.
1A-AP-10,K-2,Algorithms & Programming,Control,"Develop programs with sequences and simple loops, to express ideas or address a problem."
1A-AP-11,K-2,Algorithms & Programming,Modularity,Decompose (break down) the steps needed to solve a problem into a precise sequence of instructions.
1A-AP-12,K-2,Algorithms & Programming,Program Development,"Develop plans that describe a program’s sequence of events, goals, and expected outcomes."
1A-AP-13,K-2,Algorithms & Programming,Program Development,Give attribution when using the ideas and creations of others while developing programs.
1A-AP-14,K-2,Algorithms & Programming,Program Development,Debug (identify and fix) errors in an algorithm or program that includes sequences and simple loops.
1A-AP-15,K-2,Algorithms & Programming,Program Development,"Using correct terminology, describe steps taken and choices made during the iterative process of program development."
1A-IC-16,K-2,Impacts of Computing,Culture,Compare how people live and work before and after the implementation or adoption of new computing technology.
1A-IC-17,K-2,Impacts of Computing,Social Interactions,Work respectfully and responsibly with others online.
1A-IC-18,K-2,Impacts of Computing,Safety Law & Ethics,"Keep login information private, and log off of devices appropriately."
1B-CS-01,3-5,Computing Systems,Devices,Describe how internal and external parts of computing devices function to form a system.
1B-CS-02,3-5,Computing Systems,Hardware & Software,Model how computer hardware and software work together as a system to accomplish tasks.
1B-CS-03,3-5,Computing Systems,Troubleshooting,Determine potential solutions to solve simple hardware and software problems using common troubleshooting strategies.
1B-NI-04,3-5,Networks & the Internet,Network Communication & Organization,"Model how information is broken down into smaller pieces, transmitted as packets through multiple devices over networks and the Internet, and reassembled at the destination."
1B-NI-05,3-5,Networks & the Internet,Cybersecurity,Discuss real-world cybersecurity problems and how personal information can be protected.
1B-DA-06,3-5,Data & Analysis,Collection Visualization & Transformation,Organize and present collected data visually to highlight relationships and support a claim.
1B-DA-07,3-5,Data & Analysis,Inference & Models,"Use data to highlight or propose cause-and-effect relationships, predict outcomes, or communicate an idea."
1B-AP-08,3-5,Algorithms & Programming,Algorithms,Compare and refine multiple algorithms for the same task and determine which is the most appropriate.
1B-AP-09,3-5,Algorithms & Programming,Variables,Create programs that use variables to store and modify data.
1B-AP-10,3-5,Algorithms & Programming,Control,"Create programs that include sequences, events, loops, and conditionals."
1B-AP-11,3-5,Algorithms & Programming,Modularity,"Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process."
1B-AP-12,3-5,Algorithms & Programming,Modularity,"Modify, remix, or incorporate portions of an existing program into one's own work, to develop something new or add more advanced features."
1B-AP-13,3-5,Algorithms & Programming,Program Development,Use an iterative process to plan the development of a program by including others' perspectives and considering user preferences.
1B-AP-14,3-5,Algorithms & Programming,Program Development,Observe intellectual property rights and give appropriate attribution when creating or remixing programs.
1B-AP-15,3-5,Algorithms & Programming,Program Development,Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended.
1B-AP-16,3-5,Algorithms & Programming,Program Development,"Take on varying roles, with teacher guidance, when collaborating with peers during the design, implementation, and review stages of program development."
1B-AP-17,3-5,Algorithms & Programming,Program Development,"Describe choices made during program development using code comments, presentations, and demonstrations."
1B-IC-18,3-5,Impacts of Computing,Culture,"Discuss computing technologies that have changed the world, and express how those technologies influence, and are influenced by, cultural practices."
1B-IC-19,3-5,Impacts of Computing,Culture,Brainstorm ways to improve the accessibility and usability of technology products for the diverse needs and wants of users.
1B-IC-20,3-5,Impacts of Computing,Social Interactions,Seek diverse perspectives for the purpose of improving computational artifacts.
1B-IC-21,3-5,Impacts of Computing,Safety Law & Ethics,"Use public domain or creative commons media, and refrain from copying or using material created by others without permission."
2-CS-01,6-8,Computing Systems,Devices,"Recommend improvements to the design of computing devices, based on an analysis of how users interact with the devices."
2-CS-02,6-8,Computing Systems,Hardware & Software,Design projects that combine hardware and software components to collect and exchange data.
2-CS-03,6-8,Computing Systems,Troubleshooting,Systematically identify and fix problems with computing devices and their components.
2-NI-04,6-8,Networks & the Internet,Network Communication & Organization,Model the role of protocols in transmitting data across networks and the Internet.
2-NI-05,6-8,Networks & the Internet,Cybersecurity,Explain how physical and digital security measures protect electronic information.
2-NI-06,6-8,Networks & the Internet,Cybersecurity,Apply multiple methods of encryption to model the secure transmission of information.
2-DA-07,6-8,Data & Analysis,Storage,Represent data using multiple encoding schemes.
2-DA-08,6-8,Data & Analysis,Collection Visualization & Transformation,Collect data using computational tools and transform the data to make it more useful and reliable.
2-DA-09,6-8,Data & Analysis,Inference & Models,Refine computational models based on the data they have generated.
2-AP-10,6-8,Algorithms & Programming,Algorithms,Use flowcharts and/or pseudocode to address complex problems as algorithms.
2-AP-11,6-8,Algorithms & Programming,Variables,Create clearly named variables that represent different data types and perform operations on their values.
2-AP-12,6-8,Algorithms & Programming,Control,"Design and iteratively develop programs that combine control structures, including nested loops and compound conditionals."
2-AP-13,6-8,Algorithms & Programming,Modularity,"Decompose problems and subproblems into parts to facilitate the design, implementation, and review of programs."
2-AP-14,6-8,Algorithms & Programming,Modularity,Create procedures with parameters to organize code and make it easier to reuse.
2-AP-15,6-8,Algorithms & Programming,Program Development,Seek and incorporate feedback from team members and users to refine a solution that meets user needs.
2-AP-16,6-8,Algorithms & Programming,Program Development,"Incorporate existing code, media, and libraries into original programs, and give attribution."
2-AP-17,6-8,Algorithms & Programming,Program Development,Systematically test and refine programs using a range of test cases.
2-AP-18,6-8,Algorithms & Programming,Program Development,Distribute tasks and maintain a project timeline when collaboratively developing computational artifacts.
2-AP-19,6-8,Algorithms & Programming,Program Development,"Document programs in order to make them easier to follow, test, and debug."
2-IC-20,6-8,Impacts of Computing,Culture,Compare tradeoffs associated with computing technologies that affect people's everyday activities and career options.
2-IC-21,6-8,Impacts of Computing,Culture,Discuss issues of bias and accessibility in the design of existing technologies.
2-IC-22,6-8,Impacts of Computing,Social Interactions,Collaborate with many contributors through strategies such as crowdsourcing or surveys when creating a computational artifact.
2-IC-23,6-8,Impacts of Computing,Safety Law & Ethics,Describe tradeoffs between allowing information to be public and keeping information private and secure.
3A-CS-01,9-10,Computing Systems,Devices,Explain how abstractions hide the underlying implementation details of computing systems embedded in everyday objects.
3A-CS-02,9-10,Computing Systems,Hardware & Software,"Compare levels of abstraction and interactions between application software, system software, and hardware layers."
3A-CS-03,9-10,Computing Systems,Troubleshooting,Develop guidelines that convey systematic troubleshooting strategies that others can use to identify and fix errors.
3A-NI-04,9-10,Networks & the Internet,Network Communication & Organization,"Evaluate the scalability and reliability of networks, by describing the relationship between routers, switches, servers, topology, and addressing."
3A-NI-05,9-10,Networks & the Internet,Network Communication & Organization,Give examples to illustrate how sensitive data can be affected by malware and other attacks.
3A-NI-06,9-10,Networks & the Internet,Cybersecurity,"Recommend security measures to address various scenarios based on factors such as efficiency, feasibility, and ethical impacts."
3A-NI-07,9-10,Networks & the Internet,Network Communication & Organization,"Compare various security measures, considering tradeoffs between the usability and security of a computing system."
3A-NI-08,9-10,Networks & the Internet,Cybersecurity,Explain tradeoffs when selecting and implementing cybersecurity recommendations.
3A-DA-09,9-10,Data & Analysis,Storage,"Translate between different bit representations of real-world phenomena, such as characters, numbers, and images."
3A-DA-10,9-10,Data & Analysis,Storage,Evaluate the tradeoffs in how data elements are organized and where data is stored.
3A-DA-11,9-10,Data & Analysis,Collection Visualization & Transformation,Create interactive data visualizations using software tools to help others better understand real-world phenomena.
3A-DA-12,9-10,Data & Analysis,Inference & Models,Create computational models that represent the relationships among different elements of data collected from a phenomenon or process.
3A-AP-13,9-10,Algorithms & Programming,Algorithms,Create prototypes that use algorithms to solve computational problems by leveraging prior student knowledge and personal interests.
3A-AP-14,9-10,Algorithms & Programming,Variables,"Use lists to simplify solutions, generalizing computational problems instead of repeatedly using simple variables."
